unitid,year,Institute_name,Institute_city,Institute_State,Student_Origin,Gender,Ethnicity,enrolled,admitted,applied,admissions_yield,admitted_major,admitted_Level_study,awards
136214,2014,Institute of Computer at Houston,Houston,Texas,Mexico,Male,Hispanic or Latino Americans,520,1113,2255,47,Business Administration,Bachelor,334
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,944,1829,4090,52,Computer Science/Information Technology,Master,711
136214,2014,Institute of Computer at Houston,Houston,Texas,South Korea,Male,Asian,211,577,918,37,Medical And Nursing,Bachelor,148
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,60,170,259,35,Economics,Certification,39
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Hawaiians and Other Pacific Islanders,77,189,336,41,Arts and Literature,Doctor,56
136214,2014,Institute of Computer at Houston,Houston,Texas,Australia,Male,Others,101,245,441,41,Arts and Literature,Bachelor,54
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,3014,6682,6442,45,Medical And Nursing,Doctor,2240
136214,2014,Institute of Computer at Houston,Houston,Texas,Mexico,Female,Hispanic or Latino Americans,317,616,678,51,Business Administration,Associate,195
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,816,2331,1744,35,Economics,Certification,473
136214,2014,Institute of Computer at Houston,Houston,Texas,South Korea,Female,Asian,174,308,373,56,Computer Science/Information Technology,Bachelor,122
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,80,157,173,51,Education and Training,Certification,53
136214,2014,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,101,187,215,54,Business Administration,Bachelor,50
136214,2014,Institute of Computer at Houston,Houston,Texas,Australia,Female,Others,63,207,134,30,Computer Science/Information Technology,Master,35
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,4005,11006,41927,36,Education and Training,Doctor,2275
136214,2015,Institute of Computer at Houston,Houston,Texas,Chile,Male,Hispanic or Latino Americans,541,1141,5670,47,Engineering,Associate,280
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,1149,3353,12039,34,Medical And Nursing,Doctor,688
136214,2015,Institute of Computer at Houston,Houston,Texas,India,Male,Asian,203,361,2134,56,Medical And Nursing,Bachelor,148
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,66,129,694,51,Engineering,Bachelor,45
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Hawaiians and Other Pacific Islanders,103,197,1082,52,Arts and Literature,Certification,81
136214,2015,Institute of Computer at Houston,Houston,Texas,Australia,Male,Others,112,294,1186,38,Computer Science/Information Technology,Certification,56
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,2377,6779,26771,35,Business Administration,Associate,1660
136214,2015,Institute of Computer at Houston,Houston,Texas,Colombia,Female,Hispanic or Latino Americans,227,445,2566,51,Engineering,Certification,176
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,648,1300,7303,50,Engineering,Associate,459
136214,2015,Institute of Computer at Houston,Houston,Texas,China,Female,Asian,170,373,1922,46,Medical And Nursing,Bachelor,120
136214,2015,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,43,76,487,56,Computer Science/Information Technology,Bachelor,24
136214,2015,Institute of Computer at Houston,Houston,Texas,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,60,119,686,51,Engineering,Associate,35
136214,2015,Institute of Computer at Houston,Houston,Texas,Canada,Female,Others,65,137,742,47,Education and Training,Certification,27
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,3084,5472,32455,56,Arts and Literature,Associate,1678
136214,2016,Institute of Computer at Houston,Houston,Texas,Chile,Male,Hispanic or Latino Americans,479,1382,5044,35,Education and Training,Bachelor,255
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,1027,2971,10816,35,Business Administration,Doctor,572
136214,2016,Institute of Computer at Houston,Houston,Texas,India,Male,Asian,274,868,2895,32,Computer Science/Information Technology,Master,111
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,114,270,1200,42,Business Administration,Bachelor,50
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Hawaiians and Other Pacific Islanders,106,215,1123,49,Economics,Doctor,51
136214,2016,Institute of Computer at Houston,Houston,Texas,UAE,Male,Others,76,187,808,41,Arts and Literature,Doctor,39
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,2546,4638,65961,55,Arts and Literature,Doctor,1334
136214,2016,Institute of Computer at Houston,Houston,Texas,Chile,Female,Hispanic or Latino Americans,207,485,5364,43,Business Administration,Master,86
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,616,1268,15962,49,Business Administration,Certification,321
136214,2016,Institute of Computer at Houston,Houston,Texas,Japan,Female,Asian,141,246,3675,57,Medical And Nursing,Doctor,89
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,60,131,1575,46,Education and Training,Certification,31
136214,2016,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,65,192,1684,34,Computer Science/Information Technology,Associate,33
136214,2016,Institute of Computer at Houston,Houston,Texas,Australia,Female,Others,61,120,1619,51,Computer Science/Information Technology,Bachelor,46
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,2398,4503,31911,53,Computer Science/Information Technology,Certification,1142
136214,2017,Institute of Computer at Houston,Houston,Texas,Spain,Male,Hispanic or Latino Americans,264,557,3526,47,Arts and Literature,Bachelor,152
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,861,1549,11454,56,Business Administration,Bachelor,474
136214,2017,Institute of Computer at Houston,Houston,Texas,South Korea,Male,Asian,232,462,3102,50,Computer Science/Information Technology,Doctor,94
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,87,157,1170,55,Medical And Nursing,Certification,45
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Hawaiians and Other Pacific Islanders,87,163,1168,53,Arts and Literature,Certification,63
136214,2017,Institute of Computer at Houston,Houston,Texas,UAE,Male,Others,84,215,1118,39,Business Administration,Bachelor,50
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,2896,5535,32966,52,Business Administration,Certification,1452
136214,2017,Institute of Computer at Houston,Houston,Texas,Spain,Female,Hispanic or Latino Americans,475,1025,5414,46,Medical And Nursing,Doctor,230
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,894,1551,10173,58,Medical And Nursing,Master,426
136214,2017,Institute of Computer at Houston,Houston,Texas,Japan,Female,Asian,249,512,2835,49,Computer Science/Information Technology,Certification,167
136214,2017,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,66,195,763,34,Medical And Nursing,Associate,31
136214,2017,Institute of Computer at Houston,Houston,Texas,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,78,201,893,39,Computer Science/Information Technology,Certification,56
136214,2017,Institute of Computer at Houston,Houston,Texas,UAE,Female,Others,76,132,872,58,Engineering,Master,34
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,3088,5552,48500,56,Education and Training,Doctor,1990
136214,2018,Institute of Computer at Houston,Houston,Texas,Argentina,Male,Hispanic or Latino Americans,403,800,6333,50,Computer Science/Information Technology,Certification,214
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,727,1532,11426,47,Arts and Literature,Master,329
136214,2018,Institute of Computer at Houston,Houston,Texas,India,Male,Asian,173,489,2727,35,Medical And Nursing,Doctor,99
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,46,98,729,47,Engineering,Certification,21
136214,2018,Institute of Computer at Houston,Houston,Texas,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,48,142,771,34,Medical And Nursing,Master,23
136214,2018,Institute of Computer at Houston,Houston,Texas,Canada,Male,Others,50,90,791,56,Education and Training,Master,30
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,766,1481,19316,52,Economics,Master,452
136214,2018,Institute of Computer at Houston,Houston,Texas,Colombia,Female,Hispanic or Latino Americans,76,196,1923,39,Computer Science/Information Technology,Associate,33
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,260,693,6562,38,Medical And Nursing,Associate,144
136214,2018,Institute of Computer at Houston,Houston,Texas,Japan,Female,Asian,72,127,1829,57,Computer Science/Information Technology,Associate,32
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,26,67,662,39,Computer Science/Information Technology,Associate,15
136214,2018,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,21,41,546,51,Engineering,Master,16
136214,2018,Institute of Computer at Houston,Houston,Texas,UAE,Female,Others,19,32,526,59,Arts and Literature,Master,11
136214,2019,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,3090,9600,53692,32,Arts and Literature,Doctor,1804
136214,2019,Institute of Computer at Houston,Houston,Texas,Chile,Male,Hispanic or Latino Americans,377,1191,6559,32,Engineering,Associate,179
136214,2019,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,976,2774,16974,35,Engineering,Bachelor,758
136214,2019,Institute of Computer at Houston,Houston,Texas,South Korea,Male,Asian,199,463,3471,43,Computer Science/Information Technology,Associate,157
136214,2019,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,80,170,1402,47,Education and Training,Bachelor,38
136214,2019,Institute of Computer at Houston,Houston,Texas,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,58,137,1023,42,Engineering,Doctor,41
136214,2019,Institute of Computer at Houston,Houston,Texas,Canada,Male,Others,55,158,970,35,Education and Training,Certification,26
136214,2019,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,1023,2237,29342,46,Education and Training,Master,554
136214,2019,Institute of Computer at Houston,Houston,Texas,Spain,Female,Hispanic or Latino Americans,148,311,4255,48,Medical And Nursing,Doctor,66
136214,2019,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,304,617,8752,49,Economics,Doctor,149
136214,2019,Institute of Computer at Houston,Houston,Texas,Japan,Female,Asian,69,118,2012,58,Computer Science/Information Technology,Master,28
136214,2019,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,24,41,721,59,Engineering,Doctor,12
136214,2019,Institute of Computer at Houston,Houston,Texas,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,31,83,911,37,Medical And Nursing,Doctor,12
136214,2019,Institute of Computer at Houston,Houston,Texas,Canada,Female,Others,32,106,933,30,Medical And Nursing,Master,25
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,3709,6234,60023,59,Education and Training,Bachelor,2000
136214,2020,Institute of Computer at Houston,Houston,Texas,Colombia,Male,Hispanic or Latino Americans,453,1321,7345,34,Education and Training,Bachelor,193
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,963,3153,15596,31,Arts and Literature,Associate,712
136214,2020,Institute of Computer at Houston,Houston,Texas,India,Male,Asian,275,731,4459,38,Computer Science/Information Technology,Doctor,155
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,115,236,1874,49,Engineering,Associate,87
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Hawaiians and Other Pacific Islanders,62,130,1018,48,Medical And Nursing,Bachelor,43
136214,2020,Institute of Computer at Houston,Houston,Texas,Canada,Male,Others,106,210,1725,50,Economics,Certification,79
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,2679,4467,51955,60,Engineering,Associate,1781
136214,2020,Institute of Computer at Houston,Houston,Texas,Mexico,Female,Hispanic or Latino Americans,383,687,7440,56,Arts and Literature,Master,285
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,690,1517,13397,45,Arts and Literature,Certification,285
136214,2020,Institute of Computer at Houston,Houston,Texas,South Korea,Female,Asian,148,331,2886,45,Medical And Nursing,Bachelor,83
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,66,133,1298,50,Business Administration,Associate,39
136214,2020,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,46,88,914,52,Arts and Literature,Doctor,20
136214,2020,Institute of Computer at Houston,Houston,Texas,Australia,Female,Others,59,141,1156,42,Engineering,Doctor,37
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,3925,12013,61794,33,Economics,Certification,2446
136214,2021,Institute of Computer at Houston,Houston,Texas,Mexico,Male,Hispanic or Latino Americans,545,1003,8591,54,Arts and Literature,Associate,412
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,906,1666,14261,54,Arts and Literature,Certification,468
136214,2021,Institute of Computer at Houston,Houston,Texas,Japan,Male,Asian,175,322,2759,54,Medical And Nursing,Bachelor,102
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,82,151,1308,54,Computer Science/Information Technology,Bachelor,62
136214,2021,Institute of Computer at Houston,Houston,Texas,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,91,200,1444,45,Economics,Certification,63
136214,2021,Institute of Computer at Houston,Houston,Texas,Australia,Male,Others,106,214,1683,50,Education and Training,Certification,69
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,2956,8541,26679,35,Computer Science/Information Technology,Associate,2345
136214,2021,Institute of Computer at Houston,Houston,Texas,Spain,Female,Hispanic or Latino Americans,502,1168,4533,43,Arts and Literature,Master,305
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,1013,2393,9146,42,Medical And Nursing,Associate,695
136214,2021,Institute of Computer at Houston,Houston,Texas,China,Female,Asian,161,454,1467,35,Computer Science/Information Technology,Certification,126
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,96,190,870,51,Engineering,Master,66
136214,2021,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,60,122,545,49,Engineering,Associate,44
136214,2021,Institute of Computer at Houston,Houston,Texas,Canada,Female,Others,95,263,858,36,Business Administration,Master,46
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,2548,4556,8208,56,Education and Training,Associate,1640
136214,2022,Institute of Computer at Houston,Houston,Texas,Colombia,Male,Hispanic or Latino Americans,366,610,1180,60,Medical And Nursing,Doctor,150
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,769,2300,2479,33,Engineering,Doctor,542
136214,2022,Institute of Computer at Houston,Houston,Texas,China,Male,Asian,122,225,394,54,Computer Science/Information Technology,Master,73
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,67,153,218,44,Business Administration,Master,31
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Hawaiians and Other Pacific Islanders,43,77,142,56,Medical And Nursing,Certification,29
136214,2022,Institute of Computer at Houston,Houston,Texas,Canada,Male,Others,50,120,162,42,Business Administration,Doctor,26
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,2968,7926,46434,37,Economics,Associate,2346
136214,2022,Institute of Computer at Houston,Houston,Texas,Argentina,Female,Hispanic or Latino Americans,339,754,5313,45,Medical And Nursing,Certification,233
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,940,2557,14725,37,Economics,Doctor,492
136214,2022,Institute of Computer at Houston,Houston,Texas,India,Female,Asian,188,445,2947,42,Medical And Nursing,Master,111
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,93,185,1470,50,Economics,Doctor,68
136214,2022,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,99,219,1554,45,Business Administration,Certification,66
136214,2022,Institute of Computer at Houston,Houston,Texas,Australia,Female,Others,60,175,942,34,Computer Science/Information Technology,Bachelor,24
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Male,White Americans,2375,4234,24150,56,Business Administration,Bachelor,1183
136214,2023,Institute of Computer at Houston,Houston,Texas,Argentina,Male,Hispanic or Latino Americans,209,356,2127,59,Computer Science/Information Technology,Bachelor,112
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Male,African Americans,646,1136,6577,57,Arts and Literature,Master,309
136214,2023,Institute of Computer at Houston,Houston,Texas,South Korea,Male,Asian,150,367,1530,41,Computer Science/Information Technology,Certification,101
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Male,Native Americans and Alaska Natives,47,86,480,55,Business Administration,Doctor,32
136214,2023,Institute of Computer at Houston,Houston,Texas,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,69,131,707,53,Economics,Certification,42
136214,2023,Institute of Computer at Houston,Houston,Texas,Canada,Male,Others,66,151,677,44,Engineering,Doctor,52
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Female,White Americans,3339,7955,34735,42,Medical And Nursing,Doctor,1987
136214,2023,Institute of Computer at Houston,Houston,Texas,Chile,Female,Hispanic or Latino Americans,403,715,4198,56,Business Administration,Doctor,168
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Female,African Americans,1162,2051,12089,57,Arts and Literature,Master,828
136214,2023,Institute of Computer at Houston,Houston,Texas,China,Female,Asian,211,525,2204,40,Computer Science/Information Technology,Bachelor,112
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Americans and Alaska Natives,114,338,1186,34,Arts and Literature,Associate,70
136214,2023,Institute of Computer at Houston,Houston,Texas,USA,Female,Native Hawaiians and Other Pacific Islanders,109,325,1139,34,Engineering,Associate,66
136214,2023,Institute of Computer at Houston,Houston,Texas,Australia,Female,Others,107,342,1119,31,Engineering,Bachelor,60
180734,2010,Chicago College,Chicago,Illinois,USA,Male,White Americans,3055,8144,25517,38,Medical And Nursing,Certification,2058
180734,2010,Chicago College,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,374,641,3129,58,Medical And Nursing,Doctor,191
180734,2010,Chicago College,Chicago,Illinois,USA,Male,African Americans,1005,2437,8395,41,Arts and Literature,Associate,687
180734,2010,Chicago College,Chicago,Illinois,South Korea,Male,Asian,231,436,1931,53,Computer Science/Information Technology,Doctor,123
180734,2010,Chicago College,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,78,164,656,48,Arts and Literature,Associate,39
180734,2010,Chicago College,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,82,145,686,57,Economics,Bachelor,47
180734,2010,Chicago College,Chicago,Illinois,Australia,Male,Others,72,171,610,42,Arts and Literature,Associate,33
180734,2010,Chicago College,Chicago,Illinois,USA,Female,White Americans,1941,5203,19074,37,Arts and Literature,Certification,1335
180734,2010,Chicago College,Chicago,Illinois,Chile,Female,Hispanic or Latino Americans,171,286,1688,60,Arts and Literature,Bachelor,135
180734,2010,Chicago College,Chicago,Illinois,USA,Female,African Americans,526,1178,5170,45,Economics,Certification,363
180734,2010,Chicago College,Chicago,Illinois,India,Female,Asian,98,279,968,35,Medical And Nursing,Doctor,66
180734,2010,Chicago College,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,54,92,531,59,Education and Training,Associate,27
180734,2010,Chicago College,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,37,79,372,47,Arts and Literature,Master,20
180734,2010,Chicago College,Chicago,Illinois,Australia,Female,Others,32,84,319,38,Education and Training,Bachelor,18
180734,2011,Chicago College,Chicago,Illinois,USA,Male,White Americans,3471,8288,57166,42,Economics,Certification,1554
180734,2011,Chicago College,Chicago,Illinois,Spain,Male,Hispanic or Latino Americans,348,851,5731,41,Medical And Nursing,Doctor,268
180734,2011,Chicago College,Chicago,Illinois,USA,Male,African Americans,1023,2215,16866,46,Economics,Associate,680
180734,2011,Chicago College,Chicago,Illinois,South Korea,Male,Asian,184,315,3050,58,Computer Science/Information Technology,Certification,124
180734,2011,Chicago College,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,96,181,1588,53,Medical And Nursing,Doctor,47
180734,2011,Chicago College,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,85,185,1408,46,Business Administration,Doctor,56
180734,2011,Chicago College,Chicago,Illinois,UAE,Male,Others,104,212,1722,49,Engineering,Associate,68
180734,2011,Chicago College,Chicago,Illinois,USA,Female,White Americans,1772,3598,30717,49,Engineering,Certification,900
180734,2011,Chicago College,Chicago,Illinois,Spain,Female,Hispanic or Latino Americans,312,790,5411,39,Economics,Certification,216
180734,2011,Chicago College,Chicago,Illinois,USA,Female,African Americans,630,1457,10928,43,Engineering,Bachelor,465
180734,2011,Chicago College,Chicago,Illinois,Japan,Female,Asian,148,258,2586,57,Medical And Nursing,Certification,118
180734,2011,Chicago College,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,33,70,591,47,Economics,Certification,19
180734,2011,Chicago College,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,35,115,614,30,Arts and Literature,Certification,21
180734,2011,Chicago College,Chicago,Illinois,UAE,Female,Others,34,74,611,46,Arts and Literature,Doctor,20
180734,2012,Chicago College,Chicago,Illinois,USA,Male,White Americans,3329,8712,17016,38,Engineering,Master,2434
180734,2012,Chicago College,Chicago,Illinois,Spain,Male,Hispanic or Latino Americans,447,773,2287,58,Engineering,Doctor,184
180734,2012,Chicago College,Chicago,Illinois,USA,Male,African Americans,1083,2947,5537,37,Business Administration,Associate,694
180734,2012,Chicago College,Chicago,Illinois,India,Male,Asian,242,646,1239,37,Computer Science/Information Technology,Doctor,163
180734,2012,Chicago College,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,88,198,453,44,Arts and Literature,Master,53
180734,2012,Chicago College,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,63,114,322,55,Economics,Doctor,31
180734,2012,Chicago College,Chicago,Illinois,UAE,Male,Others,86,209,442,41,Business Administration,Master,63
180734,2012,Chicago College,Chicago,Illinois,USA,Female,White Americans,2508,4381,45894,57,Arts and Literature,Bachelor,1498
180734,2012,Chicago College,Chicago,Illinois,Colombia,Female,Hispanic or Latino Americans,301,800,5530,38,Engineering,Doctor,228
180734,2012,Chicago College,Chicago,Illinois,USA,Female,African Americans,750,1574,13739,48,Education and Training,Associate,407
180734,2012,Chicago College,Chicago,Illinois,South Korea,Female,Asian,208,414,3812,50,Computer Science/Information Technology,Bachelor,151
180734,2012,Chicago College,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,61,110,1141,56,Business Administration,Certification,30
180734,2012,Chicago College,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,82,153,1522,54,Business Administration,Doctor,35
180734,2012,Chicago College,Chicago,Illinois,Australia,Female,Others,48,88,894,54,Arts and Literature,Bachelor,24
180734,2013,Chicago College,Chicago,Illinois,USA,Male,White Americans,3839,8731,53753,44,Computer Science/Information Technology,Certification,1828
180734,2013,Chicago College,Chicago,Illinois,Chile,Male,Hispanic or Latino Americans,457,999,6401,46,Engineering,Associate,295
180734,2013,Chicago College,Chicago,Illinois,USA,Male,African Americans,1042,2315,14592,45,Arts and Literature,Associate,742
180734,2013,Chicago College,Chicago,Illinois,China,Male,Asian,207,375,2911,55,Computer Science/Information Technology,Master,128
180734,2013,Chicago College,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,83,167,1173,50,Arts and Literature,Certification,63
180734,2013,Chicago College,Chicago,Illinois,Hawaii,Male,Native Hawaiians and Other Pacific Islanders,80,181,1132,44,Business Administration,Doctor,61
180734,2013,Chicago College,Chicago,Illinois,Canada,Male,Others,100,212,1417,47,Education and Training,Bachelor,74
180734,2013,Chicago College,Chicago,Illinois,USA,Female,White Americans,3415,5906,15343,58,Computer Science/Information Technology,Bachelor,2618
180734,2013,Chicago College,Chicago,Illinois,Argentina,Female,Hispanic or Latino Americans,510,1103,2294,46,Economics,Doctor,293
180734,2013,Chicago College,Chicago,Illinois,USA,Female,African Americans,1091,2142,4904,51,Economics,Associate,610
180734,2013,Chicago College,Chicago,Illinois,Japan,Female,Asian,186,399,838,47,Computer Science/Information Technology,Bachelor,145
180734,2013,Chicago College,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,114,252,514,45,Medical And Nursing,Certification,86
180734,2013,Chicago College,Chicago,Illinois,USA,Female,Native Hawaiians and Other Pacific Islanders,62,140,280,44,Engineering,Bachelor,30
180734,2013,Chicago College,Chicago,Illinois,UAE,Female,Others,63,155,285,41,Arts and Literature,Associate,37
180734,2014,Chicago College,Chicago,Illinois,USA,Male,White Americans,1271,3671,23375,35,Economics,Bachelor,554
180734,2014,Chicago College,Chicago,Illinois,Spain,Male,Hispanic or Latino Americans,131,315,2438,42,Engineering,Bachelor,87
180734,2014,Chicago College,Chicago,Illinois,USA,Male,African Americans,409,814,7532,50,Education and Training,Bachelor,251
180734,2014,Chicago College,Chicago,Illinois,India,Male,Asian,90,296,1661,30,Medical And Nursing,Certification,70
180734,2014,Chicago College,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,22,73,423,30,Medical And Nursing,Bachelor,14
180734,2014,Chicago College,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,39,113,748,35,Engineering,Master,26
180734,2014,Chicago College,Chicago,Illinois,Canada,Male,Others,23,52,431,44,Business Administration,Bachelor,18
180734,2014,Chicago College,Chicago,Illinois,USA,Female,White Americans,2902,6751,43914,43,Business Administration,Bachelor,2167
180734,2014,Chicago College,Chicago,Illinois,Colombia,Female,Hispanic or Latino Americans,568,1113,8610,51,Economics,Certification,288
180734,2014,Chicago College,Chicago,Illinois,USA,Female,African Americans,1141,2309,17270,49,Engineering,Certification,592
180734,2014,Chicago College,Chicago,Illinois,China,Female,Asian,259,464,3921,56,Computer Science/Information Technology,Doctor,174
180734,2014,Chicago College,Chicago,Illinois,USA,Female,Native Americans and Alaska Natives,111,311,1691,36,Medical And Nursing,Certification,58
180734,2014,Chicago College,Chicago,Illinois,Hawaii,Female,Native Hawaiians and Other Pacific Islanders,87,147,1328,59,Engineering,Associate,42
180734,2014,Chicago College,Chicago,Illinois,Australia,Female,Others,67,171,1032,39,Education and Training,Doctor,40
180734,2015,Chicago College,Chicago,Illinois,USA,Male,White Americans,2325,6614,49139,35,Medical And Nursing,Associate,1740
180734,2015,Chicago College,Chicago,Illinois,Mexico,Male,Hispanic or Latino Americans,314,587,6651,53,Economics,Doctor,229
180734,2015,Chicago College,Chicago,Illinois,USA,Male,African Americans,627,1593,13268,39,Arts and Literature,Master,360
180734,2015,Chicago College,Chicago,Illinois,India,Male,Asian,132,266,2793,50,Computer Science/Information Technology,Doctor,57
180734,2015,Chicago College,Chicago,Illinois,USA,Male,Native Americans and Alaska Natives,46,122,985,38,Engineering,Doctor,26
180734,2015,Chicago College,Chicago,Illinois,USA,Male,Native Hawaiians and Other Pacific Islanders,58,150,1230,39,Business Administration,Associate,29
180734,2015,Chicago College,Chicago,Illinois,UAE,Male,Others,49,89,1040,55,Arts and Literature,Certification,23
180734,2015,Chicago College,Chicago,Illinois,USA,Female,White Americans,1810,5072,8561,36,Education and Training,Certification,925
180734,2015,Chicago College,Chicago,Illinois,Chile,Female,Hispanic or Latino Americans,197,331,935,60,Arts and Literature,Bachelor,113
